Cliente;ID;Tipo;Data da Venda;Categoria;Vendedor;Regional;Duração do Contrato (Meses);Equipe;Valor
Cliente 125;20202648;Licenciamento;2020-10-29;Novo Logo;Vendedor 12;Colombia;12;Time 10;327570.0
Cliente 126;20202980;Produtos;2020-10-30;Novo Logo;Vendedor 7;Brasil;12;Time 5;1750373.68
Cliente 126;20203001;Produtos;2020-12-14;Novo Logo;Vendedor 3;Brasil;12;Time 1;268231.5
Cliente 127;20202921;Serviços;2020-11-09;Novo Logo;Vendedor 20;Brasil;3;Time 3;29964.48
Cliente 128;20202658;Produtos;2020-11-09;Novo Logo;Vendedor 3;Brasil;12;Time 1;130649.63
Cliente 129;20202637;Produtos;2020-11-16;Novo Logo;Vendedor 7;Brasil;60;Time 5;1740000.0
Cliente 13;20170023;Serviços;2018-03-12;Cross selling;Vendedor 1;Brasil;2;Time 1;67830.0
Cliente 13;20180302;Licenciamento;2018-07-23;Upselling;Vendedor 1;Brasil;17;Time 1;168959.59
Cliente 13;20180301;Licenciamento;2018-07-23;Upselling;Vendedor 1;Brasil;37;Time 1;1351967.23
Cliente 13;20190861;Licenciamento;2019-01-31;Upselling;Vendedor 1;Brasil;30;Time 1;440551.24
Cliente 13;20190881;Serviços;2019-03-11;Upselling;Vendedor 1;Brasil;7;Time 1;201696.0
Cliente 13;20190910;Licenciamento;2019-03-18;Upselling;Vendedor 1;Brasil;28;Time 1;3649217.87
Cliente 13;20190891;Serviços;2019-04-05;Cross selling;Vendedor 1;Brasil;7;Time 1;192001.92
Cliente 13;20191277;Serviços;2019-06-03;Cross selling;Vendedor 1;Brasil;1;Time 1;143000.0
Cliente 13;20191308;Serviços;2019-06-03;Upselling;Vendedor 1;Brasil;1;Time 1;237912.87
Cliente 13;20191203;Serviços;2019-06-04;Upselling;Vendedor 1;Brasil;3;Time 1;133932.48
Cliente 13;20191262;Serviços;2019-06-07;Upselling;Vendedor 1;Brasil;3;Time 1;101999.04
Cliente 13;20191289;Licenciamento;2019-06-19;Upselling;Vendedor 1;Brasil;26;Time 1;547685.15
Cliente 13;20191357;Serviços;2019-08-01;Cross selling;Vendedor 1;Brasil;1;Time 1;55366.07
Cliente 13;20191568;Licenciamento;2019-09-05;Upselling;Vendedor 1;Brasil;23;Time 1;308542.94
Cliente 13;20191582;Serviços;2019-09-16;Upselling;Vendedor 1;Brasil;4;Time 1;300000.0
Cliente 13;20191632;Serviços;2019-09-26;Cross selling;Vendedor 1;Brasil;1;Time 1;105926.56
Cliente 13;20191676;Serviços;2019-10-15;Upselling;Vendedor 1;Brasil;1;Time 1;384833.7
Cliente 13;20201973;Licenciamento;2020-01-31;Renovação;Vendedor 1;Brasil;18;Time 1;186761.31
Cliente 13;20202077;Licenciamento;2020-01-31;Renovação;Vendedor 13;Brasil;17;Time 3;528010.48
Cliente 13;20201975;Licenciamento;2020-01-31;Renovação;Vendedor 1;Brasil;18;Time 1;1584032.12
Cliente 13;20202084;Serviços;2020-02-03;Cross selling;Vendedor 13;Brasil;1;Time 3;17168.64
Cliente 13;20202081;Serviços;2020-02-28;Renovação;Vendedor 13;Brasil;1;Time 3;112321.44
Cliente 13;20202512;Licenciamento;2020-07-24;Renovação;Vendedor 13;Brasil;11;Time 3;529783.84
Cliente 13;20202698;Licenciamento;2020-09-25;Upselling;Vendedor 13;Brasil;24;Time 3;2797378.88
Cliente 13;20203153;Licenciamento;2021-01-29;Upselling;Vendedor 13;Brasil;12;Time 3;93735.36
Cliente 13;20213594;Licenciamento;2021-03-12;Upselling;Vendedor 13;Brasil;12;Time 3;920035.77
Cliente 130;20191389;Produtos;2020-11-16;Novo Logo;Vendedor 20;Brasil;36;Time 3;2564644.92
Cliente 131;20202997;Serviços;2020-11-20;Novo Logo;Vendedor 13;Brasil;1;Time 3;31080.0
Cliente 131;20213572;Serviços;2021-03-02;Upselling;Vendedor 13;Brasil;1;Time 3;4920.0
Cliente 132;20203033;Produtos;2020-12-01;Novo Logo;Vendedor 17;Brasil;24;Time 8;29196.0
Cliente 133;20203071;Produtos;2020-12-01;Novo Logo;Vendedor 13;Brasil;12;Time 3;100800.0
Cliente 135;20203097;Produtos;2020-12-11;Novo Logo;Vendedor 17;Brasil;12;Time 8;45798.0
Cliente 136;20202407;Licenciamento;2020-12-11;Novo Logo;Vendedor 8;Mexico;12;Time 9;209967.0
Cliente 136;20203156;Licenciamento;2020-12-23;Novo Logo;Vendedor 8;Mexico;12;Time 9;564172.2
Cliente 137;20203130;Produtos;2020-12-12;Novo Logo;Vendedor 7;Brasil;61;Time 5;534600.0
Cliente 138;20203140;Produtos;2020-12-14;Novo Logo;Vendedor 3;Brasil;12;Time 1;3484000.0
Cliente 138;20203144;Licenciamento;2020-12-16;Upselling;Vendedor 3;Brasil;12;Time 1;6000000.0
Cliente 138;20213354;Produtos;2021-01-29;Upselling;Vendedor 3;Brasil;12;Time 1;3415203.84
Cliente 139;20202624;Produtos;2020-12-14;Novo Logo;Vendedor 21;Brasil;37;Time 3;172800.0
Cliente 14;20170103;Serviços;2018-03-16;Upselling;Vendedor 4;Brasil;5;Time 2;205000.0
Cliente 14;20170102;Produtos;2018-04-09;Cross selling;Vendedor 4;Brasil;3;Time 2;89292.5
Cliente 14;20180206;Serviços;2018-04-30;Upselling;Vendedor 4;Brasil;13;Time 2;2379999.84
Cliente 14;20170128;Serviços;2018-06-15;Upselling;Vendedor 4;Brasil;12;Time 2;1330000.0
Cliente 14;20180262;Produtos;2019-04-23;Upselling;Vendedor 10;Brasil;1;Time 7;300000.0
Cliente 14;20191202;Produtos;2019-05-17;Cross selling;Vendedor 10;Brasil;1;Time 7;46569.0
Cliente 14;20191299;Serviços;2019-06-28;Upselling;Vendedor 10;Brasil;13;Time 7;12100320.0
Cliente 14;20191290;Serviços;2019-07-03;Cross selling;Vendedor 10;Brasil;2;Time 7;71000.0
Cliente 14;20191615;Serviços;2019-09-13;Upselling;Vendedor 10;Brasil;2;Time 7;19880.0
Cliente 14;20191347;Serviços;2019-09-23;Upselling;Vendedor 10;Brasil;12;Time 7;1472416.0
Cliente 14;20191652;Serviços;2019-12-27;Cross selling;Vendedor 10;Brasil;12;Time 7;765920.0
Cliente 14;20202419;Licenciamento;2020-06-30;Cross selling;Vendedor 18;Brasil;12;Time 1;93437.4
Cliente 14;20202494;Serviços;2020-08-12;Cross selling;Vendedor 18;Brasil;4;Time 1;97500.0
Cliente 14;20191413;Licenciamento;2020-08-17;Cross selling;Vendedor 18;Brasil;12;Time 1;1391362.64
Cliente 14;20202455;Serviços;2020-09-22;Cross selling;Vendedor 18;Brasil;12;Time 1;9048490.66
Cliente 14;20203008;Serviços;2020-12-10;Upselling;Vendedor 18;Brasil;6;Time 1;161280.0
Cliente 14;20203069;Serviços;2021-01-12;Upselling;Vendedor 18;Brasil;12;Time 1;290016.0
Cliente 14;20213286;Serviços;2021-01-26;Upselling;Vendedor 18;Brasil;12;Time 1;322560.0
Cliente 14;20213204;Serviços;2021-03-09;Upselling;Vendedor 18;Brasil;12;Time 1;6707860.0
Cliente 14;20213584;Serviços;2021-04-14;Cross selling;Vendedor 18;Brasil;12;Time 1;305182.08
Cliente 14;20213604;Serviços;2021-04-27;Upselling;Vendedor 18;Brasil;12;Time 1;1718115.84
Cliente 140;20203041;Produtos;2020-12-14;Novo Logo;Vendedor 22;Brasil;73;Time 11;606000.0
Cliente 140;20203042;Produtos;2020-12-14;Novo Logo;Vendedor 22;Brasil;61;Time 11;1544000.0
