"cliente","id","tipo","data_da_venda","categoria","vendedor","regional","duracao_do_contrato_meses","equipe","valor"
"Cliente 5","2018-0230","Serviços","2018-05-14","Cross selling","Vendedor 3","Brasil",4,"Time 1","R$ 282.120,00"
"Cliente 5","2018-0236","Serviços","2018-05-18","Upselling","Vendedor 3","Brasil",4,"Time 1","R$ 263.501,70"
"Cliente 5","2017-0202","Licenciamento","2018-06-15","Renovação","Vendedor 3","Brasil",12,"Time 1","R$ 1.657.500,00"
"Cliente 5","2018-0254","Licenciamento","2018-06-15","Upselling","Vendedor 3","Brasil",37,"Time 1","R$ 1.657.500,00"
"Cliente 5","2017-0201","Licenciamento","2018-06-15","Renovação","Vendedor 3","Brasil",14,"Time 1","R$ 1.838.012,37"
"Cliente 5","2017-0200","Licenciamento","2018-06-15","Renovação","Vendedor 3","Brasil",12,"Time 1","R$ 3.111.782,64"
"Cliente 5","2018-0145","Licenciamento","2018-06-15","Upselling","Vendedor 3","Brasil",37,"Time 1","R$ 3.810.588,20"
"Cliente 5","2018-0390","Serviços","2018-07-25","Upselling","Vendedor 3","Brasil",1,"Time 1","R$ 59.605,30"
"Cliente 5","2018-0402","Serviços","2018-08-03","Upselling","Vendedor 3","Brasil",12,"Time 1","R$ 161.918,40"
"Cliente 5","2017-0165","Licenciamento","2018-09-06","Renovação","Vendedor 3","Brasil",12,"Time 1","R$ 957.075,28"
"Cliente 5","2019-1613","Serviços","2018-09-10","Upselling","Vendedor 3","Brasil",1,"Time 1","R$ 30.527,20"
"Cliente 5","2018-0470","Serviços","2018-09-19","Upselling","Vendedor 3","Brasil",6,"Time 1","R$ 120.151,76"
"Cliente 5","2018-0617","Serviços","2018-10-08","Cross selling","Vendedor 3","Brasil",12,"Time 1","R$ 330.760,00"
"Cliente 5","2018-0616","Licenciamento","2018-10-08","Cross selling","Vendedor 3","Brasil",12,"Time 1","R$ 358.398,00"
"Cliente 5","2018-0618","Serviços","2018-10-08","Cross selling","Vendedor 3","Brasil",4,"Time 1","R$ 363.794,40"
"Cliente 5","2018-0619","Serviços","2018-10-08","Cross selling","Vendedor 3","Brasil",16,"Time 1","R$ 483.200,00"
"Cliente 5","2018-0000","Licenciamento","2018-10-08","Cross selling","Vendedor 3","Brasil",12,"Time 1","R$ 2.565.216,00"
"Cliente 5","2018-0505","Serviços","2018-10-11","Upselling","Vendedor 3","Brasil",12,"Time 1","R$ 138.786,48"
"Cliente 5","2018-0510","Serviços","2018-10-17","Upselling","Vendedor 3","Brasil",1,"Time 1","R$ 39.652,16"
